Rank,Company_Name,Headquarters,Sectors,Total_Dataset_Score,Policy_Governance_Score,Transparency_Score,History_Modifier,Record_Count,Years_Tracked,Positive_Effect_Ratio,Has_Modern_Slavery_Policy,Has_Director_Signoff,Has_Board_Oversight,Has_Detailed_Disclosure,Assessment_Date
169,Equinor (formerly Statoil),NO,"Hydrogen;Oil, gas & coal",32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
170,Epwin Group Plc,GB,Building materials & equipment,32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
171,Epson Telford Limited,GB,"Technology: Electronics, Internet and telecom providers",32,25,7,1.2,4,4,1.0,True,True,True,False,2025-07-01
172,Epson (UK) Limited,GB,"Technology: Electronics, Internet and telecom providers",32,25,7,1.2,5,5,1.0,True,True,True,False,2025-07-01
173,Great Portland Estates plc,GB,Finance & banking;Real estate: General,32,25,7,1.2,4,4,1.0,True,True,True,False,2025-07-01
174,Greggs,GB,Food & beverage;Restaurants & bars,32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
175,Greenhill & Co. International LLP,GB,Finance & banking,32,25,7,1.2,3,3,1.0,True,True,False,False,2025-07-01
176,Greencore,IE,Food & beverage,32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
177,Grosvenor Group Limited,GB,Real estate: General,32,25,7,1.2,3,3,1.0,True,True,False,False,2025-07-01
178,Enterprise Rent-A-Car UK Limited,GB,Services: General,32,25,7,1.2,5,4,1.0,True,True,False,False,2025-07-01
179,Vodafone,GB,"Technology: Electronics, Internet and telecom providers",32,25,7,1.2,4,4,1.0,True,True,True,False,2025-07-01
180,Vitec Group plc (The),GB,Household products,32,25,7,1.1,3,3,0.667,True,True,False,False,2025-07-01
181,Growth Company Limited (The),GB,Charity/Non-Profit,32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
182,Adecco Group,CH,Recruitment agencies,32,25,7,1.2,5,4,1.0,True,True,True,False,2025-07-01
183,TVS Supply Chain Solutions Limited,GB,Freight handling,32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
184,TUI Travel,DE,Tourism,32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
185,Ground Control Limited,GB,Services: General,32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
186,Gulf International Bank (UK) Limited,GB,Finance & banking,32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
187,Vision Support Services Ltd,GB,Clothing & textile,32,25,7,1.2,3,3,1.0,True,True,True,False,2025-07-01
188,HSBC,GB,Finance & banking,32,25,7,1.2,4,4,1.0,True,True,True,False,2025-07-01
189,HS1 Limited,GB,Services: General,32,25,7,1.2,4,4,1.0,True,True,True,False,2025-07-01
190,Emcor Group,Unknown,Unknown,32,25,7,1.2,3,3,1.0,True,True,False,False,2025-07-01
